FrameID, Prepare, Placement, Opacity, Upload, Reproject, Symbol, Render, Total
363, 1191, 450, 40, 77, 1062, 4714, 3532, 11069
364, 886, 1947, 1948, 568, 1079, 4521, 3726, 14678
365, 991, 601, 35, 101, 1118, 4441, 3550, 10840
366, 1005, 1901, 1962, 514, 1091, 4345, 3659, 14479
367, 873, 552, 31, 87, 1066, 4478, 3642, 10731
368, 841, 1946, 1897, 507, 1469, 4651, 3651, 14964
369, 1192, 472, 23, 85, 1066, 4829, 3538, 11207
370, 907, 2445, 2189, 398, 1062, 4259, 3974, 15236
371, 986, 588, 28, 272, 1075, 4449, 3398, 10797
372, 994, 1982, 2003, 526, 1076, 4178, 3963, 14723
373, 1185, 530, 63, 233, 1048, 4375, 3649, 11084
374, 1101, 1945, 1870, 452, 944, 3516, 3057, 12888
375, 898, 567, 32, 79, 1100, 3997, 3097, 9771
376, 1190, 1889, 2164, 463, 1229, 5144, 3252, 15332
377, 1296, 486, 1216, 227, 759, 3205, 2325, 9516
378, 895, 2042, 1679, 394, 736, 2949, 2492, 11189
379, 1666, 462, 19, 66, 1057, 3345, 2850, 9467
380, 673, 105, 9, 56, 789, 3252, 2759, 7645
381, 1023, 1797, 1574, 476, 933, 3356, 2996, 12157
382, 903, 563, 34, 80, 776, 3144, 2638, 8139
383, 944, 1829, 3569, 559, 825, 3242, 2647, 13617
384, 957, 574, 33, 67, 734, 3142, 2457, 7965
385, 845, 1667, 1537, 275, 751, 2829, 2472, 10377
386, 733, 550, 32, 72, 756, 3276, 2535, 7956
387, 790, 1678, 1315, 256, 746, 2830, 2499, 10115
388, 785, 561, 30, 69, 747, 3111, 2620, 7925
389, 1055, 1376, 1372, 270, 761, 2988, 2517, 10341
390, 880, 487, 24, 74, 765, 3089, 2537, 7858
391, 875, 1739, 1423, 265, 769, 2872, 2492, 10436
392, 782, 518, 29, 67, 810, 3186, 2485, 7879
393, 808, 1700, 1316, 265, 749, 2975, 2612, 10427
394, 828, 491, 25, 70, 760, 3133, 2599, 7908
395, 822, 1703, 1778, 277, 951, 3197, 2923, 11653
396, 987, 712, 1589, 362, 848, 3827, 2962, 11290
397, 870, 1673, 1522, 421, 830, 3378, 3039, 11736
398, 862, 506, 20, 72, 1013, 3665, 2911, 9051
399, 853, 1702, 1507, 332, 851, 3606, 3062, 11916
400, 829, 519, 28, 96, 928, 3923, 3148, 9472
